City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
205,rongelap,11.1635,166.8941,299.01,74,100,6.42,MH,1706492371
206,tindouf,27.6711,-8.1474,284.4,25,0,3.09,DZ,1706492426
207,zhezqazghan,47.7833,67.7667,257.47,85,20,9.0,KZ,1706492427
208,anlu,31.1661,112.5831,280.65,57,99,2.73,CN,1706492428
209,enriquillo,17.9,-71.2333,296.89,85,15,2.8,DO,1706492429
210,labrador city,52.9463,-66.9114,247.1,76,0,0.0,CA,1706492410
211,nemuro,43.3236,145.575,273.15,79,73,5.18,JP,1706492431
212,shenkursk,62.1091,42.896,266.95,96,100,3.32,RU,1706492432
213,keflavik,64.0049,-22.5624,274.1,64,20,14.92,IS,1706492432
214,margate,51.3813,1.3862,281.31,90,99,2.24,GB,1706492433
215,tolanaro,-25.0319,46.9987,296.19,88,75,3.6,MG,1706492434
216,pelotas,-31.7719,-52.3425,292.88,93,2,1.77,BR,1706492205
217,puerto lempira,15.2667,-83.7667,297.92,88,2,3.78,HN,1706492436
218,gargalianoi,37.0667,21.6333,279.49,60,14,4.93,GR,1706492437
219,san patricio,28.017,-97.5169,289.07,52,0,2.64,US,1706492439
220,mary,37.0,62.5,278.48,80,100,1.74,TM,1706492352
221,susuman,62.7833,148.1667,233.14,99,84,0.45,RU,1706491920
222,tazacorte,28.629,-17.9293,291.57,26,0,3.13,ES,1706492441
223,nepanagar,21.4667,76.4,292.02,44,77,0.45,IN,1706492442
224,jingdezhen,29.2947,117.2079,281.8,60,100,0.61,CN,1706492443
225,homer,59.6425,-151.5483,262.08,66,100,2.24,US,1706492445
226,westport,41.1415,-73.3579,276.66,86,100,5.66,US,1706492180
227,coronel oviedo,-25.4167,-56.45,295.18,58,0,1.79,PY,1706492447
228,tshabong,-26.05,22.45,300.17,47,18,4.58,BW,1706492448
229,opuwo,-18.0607,13.84,294.42,59,9,1.51,NA,1706492449
230,sao vicente,-23.9631,-46.3919,297.74,26,20,1.76,BR,1706492450
231,chulym,55.0997,80.9572,252.44,99,89,2.77,RU,1706492451
232,malvan,16.0667,73.4667,295.77,60,81,2.57,IN,1706492452
